hsa:1	hsa:A1BG
hsa:100169757	hsa:RNA5S6
hsa:100169758	hsa:RNA5S7
hsa:100169759	hsa:RNA5S8
hsa:100169760	hsa:RNA5S9
hsa:100169761	hsa:RNA5S10
hsa:100169762	hsa:RNA5S11
hsa:100169763	hsa:RNA5S12
hsa:100169764	hsa:RNA5S13
hsa:100169765	hsa:RNA5S14
hsa:100169766	hsa:RNA5S15
hsa:100169767	hsa:RNA5S16
hsa:100169768	hsa:RNA5S17
hsa:100169851	hsa:PATE3
hsa:100169890	hsa:PEG3-AS1
hsa:100169951	hsa:SNAR-A3
hsa:100169952	hsa:SNAR-A5
hsa:100169953	hsa:SNAR-A7
hsa:100169954	hsa:SNAR-A11
hsa:100169955	hsa:SNAR-A9
hsa:100169956	hsa:SNAR-A4
hsa:100169957	hsa:SNAR-A6
hsa:100169958	hsa:SNAR-A8
hsa:100169959	hsa:SNAR-A13
hsa:10017	hsa:BCL2L10
hsa:100170216	hsa:SNAR-A10
hsa:100170217	hsa:SNAR-B2
hsa:100170218	hsa:SNAR-C2
hsa:100170219	hsa:SNAR-C4
hsa:100170220	hsa:SNAR-E
hsa:100170221	hsa:SNAR-H
hsa:100170222	hsa:SNAR-I
hsa:100170223	hsa:SNAR-C5
hsa:100170224	hsa:SNAR-B1
hsa:100170225	hsa:SNAR-C1
hsa:100170226	hsa:SNAR-C3
hsa:100170227	hsa:SNAR-D
hsa:100170228	hsa:SNAR-G2
hsa:100170229	hsa:SRRM5
hsa:100170765	hsa:ERICH4
hsa:100170841	hsa:EPOP
hsa:10018	hsa:BCL2L11
hsa:100187716	hsa:MIR1224
hsa:100188847	hsa:MIR1225
hsa:100188893	hsa:TOMM6
hsa:10019	hsa:SH2B3
hsa:100190949	hsa:C5orf52
hsa:100191040	hsa:C2CD4D
hsa:100191063	hsa:SNAR-A14
hsa:1002	hsa:CDH4
hsa:10020	hsa:GNE
hsa:10021	hsa:HCN4
hsa:10022	hsa:INSL5
hsa:10023	hsa:FRAT1
hsa:10024	hsa:TROAP
hsa:10025	hsa:MED16
hsa:10026	hsa:PIGK
hsa:100271715	hsa:ARHGEF33
hsa:100271846	hsa:ERVV-2
hsa:100271849	hsa:MEF2B
hsa:100271927	hsa:RASA4B
hsa:100272147	hsa:CMC4
hsa:100287045	hsa:FAM90A26
hsa:100287144	hsa:USP17L10
hsa:100287171	hsa:WASHC1
hsa:100287178	hsa:USP17L11
hsa:100287205	hsa:USP17L12
hsa:100287226	hsa:ZNF729
hsa:100287238	hsa:USP17L13
hsa:100287284	hsa:MANSC4
hsa:100287327	hsa:USP17L17
hsa:100287364	hsa:USP17L18
hsa:100287399	hsa:POTEB2
hsa:100287404	hsa:USP17L19
hsa:100287441	hsa:USP17L20
hsa:100287478	hsa:USP17L21
hsa:100287482	hsa:SMKR1
hsa:100287513	hsa:USP17L22
hsa:100287520	hsa:GLYATL1B
hsa:100287718	hsa:ANKRD66
hsa:100287898	hsa:TTC34
hsa:100287932	hsa:TIMM23
hsa:100288072	hsa:SDR42E2
hsa:100288142	hsa:NBPF20
hsa:100288287	hsa:KRTAP22-2
hsa:100288323	hsa:KRTAP21-3
hsa:100288332	hsa:NPIPA5
hsa:100288413	hsa:ERVMER34-1
hsa:100288485	hsa:MTRNR2L7
hsa:100288520	hsa:USP17L15
hsa:100288687	hsa:DUX4
hsa:100288695	hsa:LIMS4
hsa:100288797	hsa:TMEM239
hsa:100288801	hsa:FRG2C
hsa:100288814	hsa:CLDN34
hsa:100288966	hsa:A26B3
hsa:100289087	hsa:TSPY10
hsa:100289187	hsa:TMEM225B
hsa:100289279	hsa:CNTNAP3C
hsa:100289462	hsa:DEFB4B
hsa:100289635	hsa:ZNF605
hsa:100289678	hsa:ZNF783
hsa:100293516	hsa:ZNF587B
hsa:100293534	hsa:C4B_2
hsa:1003	hsa:CDH5
hsa:100302111	hsa:MIR1184-1
hsa:100302112	hsa:MIR1284
hsa:100302113	hsa:MIR1200
hsa:100302114	hsa:MIR513C
hsa:100302115	hsa:MIR1468
hsa:100302116	hsa:MIR1265
hsa:100302117	hsa:MIR320B1
hsa:100302118	hsa:MIR1286
hsa:100302119	hsa:MIR1538
hsa:100302121	hsa:MIR1276
hsa:100302122	hsa:MIR1183
hsa:100302123	hsa:MIR1275
hsa:100302124	hsa:MIR1288
hsa:100302125	hsa:MIR1289-1
hsa:100302126	hsa:MIR1471
hsa:100302127	hsa:MIR1470
hsa:100302128	hsa:MIR1302-3
hsa:100302129	hsa:MIR1915
hsa:100302130	hsa:MIR1302-4
hsa:100302131	hsa:MIR302F
hsa:100302132	hsa:MIR1182
hsa:100302133	hsa:MIR1287
hsa:100302134	hsa:MIR1289-2
hsa:100302135	hsa:MIR320C1
hsa:100302136	hsa:MIR1252
hsa:100302137	hsa:MIR1914
hsa:100302138	hsa:MIR1292
hsa:100302139	hsa:MIR1537
hsa:100302140	hsa:MIR1302-6
hsa:100302141	hsa:MIR1913
hsa:100302142	hsa:MIR1246
hsa:100302143	hsa:MIR1248
hsa:100302144	hsa:MIR1912
hsa:100302145	hsa:MIR1247
hsa:100302146	hsa:MIR1302-5
hsa:100302147	hsa:MIR1302-7
hsa:100302148	hsa:MIR1263
hsa:100302149	hsa:MIR1249
hsa:100302150	hsa:MIR1296
hsa:100302152	hsa:MIR548N
hsa:100302153	hsa:MIR1298
hsa:100302155	hsa:MIR1256
hsa:100302156	hsa:MIR1229
hsa:100302157	hsa:MIR1185-1
hsa:100302158	hsa:MIR1231
hsa:100302159	hsa:MIR548F3
hsa:100302160	hsa:MIR1233-1
hsa:100302161	hsa:MIR1205
hsa:100302163	hsa:MIR1278
hsa:100302164	hsa:MIR2113
hsa:100302166	hsa:MIR1322
hsa:100302167	hsa:MIR1299
hsa:100302168	hsa:MIR1257
hsa:100302169	hsa:MIR320D2
hsa:100302170	hsa:MIR1206
hsa:100302171	hsa:MIR1321
hsa:100302172	hsa:MIR1258
hsa:100302174	hsa:MIR1307
hsa:100302175	hsa:MIR1207
hsa:100302177	hsa:MIR1269A
hsa:100302178	hsa:MIR1295A
hsa:100302179	hsa:MIR1270
hsa:100302181	hsa:MIR1294
hsa:100302182	hsa:MIR1279
hsa:100302183	hsa:MIR1825
hsa:100302184	hsa:MIR1272
hsa:100302185	hsa:MIR1204
hsa:100302186	hsa:MIR548I3
hsa:100302187	hsa:MIR1297
hsa:100302188	hsa:MIR1243
hsa:100302190	hsa:MIR1976
hsa:100302191	hsa:MIR548I4
hsa:100302192	hsa:MIR548F1
hsa:100302193	hsa:MIR1255A
hsa:100302195	hsa:MIR320C2
hsa:100302196	hsa:MIR1234
hsa:100302197	hsa:MIR1306
hsa:100302201	hsa:MIR1228
hsa:100302202	hsa:MIR1266
hsa:100302203	hsa:MIR1271
hsa:100302204	hsa:MIR548I1
hsa:100302205	hsa:MIR1283-2
hsa:100302208	hsa:MIR1253
hsa:100302209	hsa:MIR1185-2
hsa:100302210	hsa:MIR1909
hsa:100302211	hsa:MIR1203
hsa:100302212	hsa:MIR1324
hsa:100302213	hsa:MIR1181
hsa:100302214	hsa:MIR1277
hsa:100302217	hsa:MIR1827
hsa:100302218	hsa:MIR1285-1
hsa:100302219	hsa:MIR1245A
hsa:100302220	hsa:MIR1293
hsa:100302221	hsa:MIR1291
hsa:100302222	hsa:MIR1911
hsa:100302223	hsa:MIR1302-8
hsa:100302224	hsa:MIR2110
hsa:100302225	hsa:MIR2053
hsa:100302226	hsa:MIR1238
hsa:100302227	hsa:MIR1302-1
hsa:100302228	hsa:MIR1261
hsa:100302229	hsa:MIR1250
hsa:100302232	hsa:MIR1226
hsa:100302233	hsa:MIR1268A
hsa:100302234	hsa:MIR664A
hsa:100302235	hsa:MIR1179
hsa:100302236	hsa:MIR1260A
hsa:100302237	hsa:MIR1281
hsa:100302238	hsa:MIR103B1
hsa:100302239	hsa:MIR548F5
hsa:100302240	hsa:MIR1304
hsa:100302242	hsa:MIR1236
hsa:100302243	hsa:MIR1972-1
hsa:100302246	hsa:MIR1301
hsa:100302250	hsa:MIR1197
hsa:100302251	hsa:MIR1264
hsa:100302254	hsa:MIR1282
hsa:100302255	hsa:MIR1323
hsa:100302256	hsa:MIR1180
hsa:100302257	hsa:MIR1539
hsa:100302258	hsa:MIR1469
hsa:100302259	hsa:MIR1202
hsa:100302260	hsa:MIR2052
hsa:100302261	hsa:MIR1910
hsa:100302263	hsa:MIR1908
hsa:100302265	hsa:MIR1283-1
hsa:100302267	hsa:MIR2054
hsa:100302268	hsa:MIR1285-2
hsa:100302270	hsa:MIR1305
hsa:100302274	hsa:MIR1178
hsa:100302275	hsa:MIR548L
hsa:100302276	hsa:MIR1290
hsa:100302277	hsa:MIR548I2
hsa:100302278	hsa:MIR1302-2
hsa:100302279	hsa:MIR1262
hsa:100302280	hsa:MIR1237
hsa:100302281	hsa:MIR1208
hsa:100302282	hsa:MIR103B2
hsa:100302283	hsa:MIR1227
hsa:100302284	hsa:MIR1303
hsa:100302285	hsa:MIR1244-1
hsa:100302286	hsa:MIR1267
hsa:100302287	hsa:MIR548H3
hsa:100302288	hsa:MIR548P
hsa:100302289	hsa:MIR1251
hsa:100302290	hsa:MIR1973
hsa:100302652	hsa:GPR75-ASB3
hsa:100302736	hsa:TMED7-TICAM2
hsa:100302743	hsa:SNORA80B
hsa:100303755	hsa:PET117
hsa:100310812	hsa:SPDYE2B
hsa:100310846	hsa:ANKRD61
hsa:100313769	hsa:MIR320B2
hsa:100313770	hsa:MIR548K
hsa:100313771	hsa:MIR548F2
hsa:100313772	hsa:MIR548M
hsa:100313773	hsa:MIR548H2
hsa:100313774	hsa:MIR302E
hsa:100313777	hsa:MIR670
hsa:100313778	hsa:MIR759
hsa:100313779	hsa:MIR2117
hsa:100313780	hsa:MIR2278
hsa:100313781	hsa:MIR718
hsa:100313806	hsa:MIR1255B1
hsa:100313822	hsa:MIR513B
hsa:100313824	hsa:MIR663B
hsa:100313829	hsa:MIR548O
hsa:100313830	hsa:MIR548H1
hsa:100313835	hsa:MIR1255B2
hsa:100313837	hsa:MIR762
hsa:100313838	hsa:MIR764
hsa:100313839	hsa:MIR2114
hsa:100313840	hsa:MIR2115
hsa:100313841	hsa:MIR548Q
hsa:100313842	hsa:MIR2276
hsa:100313843	hsa:MIR711
hsa:100313884	hsa:MIR548H4
hsa:100313886	hsa:MIR2116
hsa:100313887	hsa:MIR2277
hsa:100313892	hsa:MIR761
hsa:100313895	hsa:MIR548F4
hsa:100313896	hsa:MIR320D1
hsa:100313914	hsa:MIR548J
hsa:100313921	hsa:MIR548E
hsa:100313923	hsa:MIR449C
hsa:100313938	hsa:MIR548G
hsa:100316904	hsa:SAP25
hsa:100329135	hsa:TRPC5OS
hsa:100337591	hsa:SNORA70F
hsa:10036	hsa:CHAF1A
hsa:100379132	hsa:SNORA70G
hsa:100379141	hsa:SNORA70D
hsa:100379250	hsa:SNORA70E
hsa:100379251	hsa:NPPA-AS1
hsa:100379571	hsa:BACE1-AS
hsa:10038	hsa:PARP2
hsa:100381270	hsa:ZBED6
hsa:10039	hsa:PARP3
hsa:1004	hsa:CDH6
hsa:10040	hsa:TOM1L1
hsa:100419008	hsa:PRR20G
hsa:10042	hsa:HMGXB4
hsa:100422821	hsa:MIR1273C
hsa:100422823	hsa:MIR4300
hsa:100422824	hsa:MIR3128
hsa:100422825	hsa:MIR3160-2
hsa:100422826	hsa:MIR4274
hsa:100422827	hsa:MIR3160-1
hsa:100422828	hsa:MIR4287
hsa:100422829	hsa:MIR4319
hsa:100422830	hsa:MIR3171
hsa:100422831	hsa:MIR1302-9
hsa:100422832	hsa:MIR3191
hsa:100422833	hsa:MIR3188
hsa:100422834	hsa:MIR1302-10
hsa:100422835	hsa:MIR3183
hsa:100422836	hsa:MIR3180-3
hsa:100422837	hsa:MIR1193
hsa:100422838	hsa:MIR3195
hsa:100422839	hsa:MIR3119-1
hsa:100422840	hsa:MIR4317
hsa:100422841	hsa:MIR3174
hsa:100422842	hsa:MIR3074
