hsa:1007;CDH9
hsa:1008;CDH10
hsa:1009;CDH11
hsa:1010;CDH12
hsa:1012;CDH13
hsa:1013;CDH15
hsa:1014;CDH16
hsa:1015;CDH17
hsa:1016;CDH18
hsa:1017;CDK2
hsa:1018;CDK3
hsa:1019;CDK4
hsa:1020;CDK5
hsa:1021;CDK6
hsa:1022;CDK7
hsa:1024;CDK8
hsa:1025;CDK9
hsa:1026;CDKN1A
hsa:1027;CDKN1B
hsa:1028;CDKN1C
hsa:1029;CDKN2A
hsa:1030;CDKN2B
hsa:1031;CDKN2C
hsa:1032;CDKN2D
hsa:1033;CDKN3
hsa:1036;CDO1
hsa:1038;CDR1
hsa:1039;CDR2
hsa:1040;CDS1
hsa:1041;CDSN
hsa:1043;CD52
hsa:1044;CDX1
hsa:1045;CDX2
hsa:1046;CDX4
hsa:1047;CLGN
hsa:1048;CEACAM5
hsa:1050;CEBPA
hsa:1051;CEBPB
hsa:1052;CEBPD
hsa:1053;CEBPE
hsa:1054;CEBPG
hsa:1056;CEL
hsa:1057;CELP
hsa:1058;CENPA
hsa:1059;CENPB
hsa:1060;CENPC
hsa:1062;CENPE
hsa:1063;CENPF
hsa:1066;CES1
hsa:1068;CETN1
hsa:1069;CETN2
hsa:1070;CETN3
hsa:1071;CETP
hsa:1072;CFL1
hsa:1073;CFL2
hsa:1075;CTSC
hsa:1080;CFTR
hsa:1081;CGA
hsa:1082;CGB3
hsa:1084;CEACAM3
hsa:1087;CEACAM7
hsa:1088;CEACAM8
hsa:1089;CEACAM4
hsa:1101;CHAD
hsa:1102;RCBTB2
hsa:1103;CHAT
hsa:1104;RCC1
hsa:1105;CHD1
hsa:1106;CHD2
hsa:1107;CHD3
hsa:1108;CHD4
hsa:1109;AKR1C4
hsa:1111;CHEK1
hsa:1112;FOXN3
hsa:1113;CHGA
hsa:1114;CHGB
hsa:1116;CHI3L1
hsa:1117;CHI3L2
hsa:1118;CHIT1
hsa:1119;CHKA
hsa:1120;CHKB
hsa:1121;CHM
hsa:1122;CHML
hsa:1123;CHN1
hsa:1124;CHN2
hsa:1128;CHRM1
hsa:1129;CHRM2
hsa:1130;LYST
hsa:1131;CHRM3
hsa:1132;CHRM4
hsa:1133;CHRM5
hsa:1134;CHRNA1
hsa:1135;CHRNA2
hsa:1136;CHRNA3
hsa:1137;CHRNA4
hsa:1138;CHRNA5
hsa:1139;CHRNA7
hsa:1140;CHRNB1
hsa:1141;CHRNB2
hsa:1142;CHRNB3
hsa:1143;CHRNB4
hsa:1144;CHRND
hsa:1145;CHRNE
hsa:1146;CHRNG
hsa:1147;CHUK
hsa:1149;CIDEA
hsa:1152;CKB
hsa:1153;CIRBP
hsa:1154;CISH
hsa:1155;TBCB
hsa:1158;CKM
hsa:1159;CKMT1B
hsa:1160;CKMT2
hsa:1161;ERCC8
hsa:1163;CKS1B
hsa:1164;CKS2
hsa:1173;AP2M1
hsa:1174;AP1S1
hsa:1175;AP2S1
hsa:1176;AP3S1
hsa:1178;CLC
hsa:1179;CLCA1
hsa:1180;CLCN1
hsa:1181;CLCN2
hsa:1182;CLCN3
hsa:1183;CLCN4
hsa:1184;CLCN5
hsa:1185;CLCN6
hsa:1186;CLCN7
hsa:1187;CLCNKA
hsa:1188;CLCNKB
hsa:1191;CLU
hsa:1192;CLIC1
hsa:1193;CLIC2
hsa:1195;CLK1
hsa:1196;CLK2
hsa:1197;CLK2P1
hsa:1198;CLK3
hsa:1200;TPP1
hsa:1201;CLN3
hsa:1203;CLN5
hsa:1207;CLNS1A
hsa:1208;CLPS
hsa:1209;CLPTM1
hsa:1211;CLTA
hsa:1212;CLTB
hsa:1213;CLTC
hsa:1215;CMA1
hsa:1230;CCR1
hsa:1232;CCR3
hsa:1233;CCR4
hsa:1234;CCR5
hsa:1235;CCR6
hsa:1236;CCR7
hsa:1237;CCR8
hsa:1238;ACKR2
hsa:1240;CMKLR1
hsa:1241;LTB4R
hsa:1244;ABCC2
hsa:1258;CNGB1
hsa:1259;CNGA1
hsa:1260;CNGA2
hsa:1261;CNGA3
hsa:1262;CNGA4
hsa:1263;PLK3
hsa:1264;CNN1
hsa:1265;CNN2
hsa:1266;CNN3
hsa:1267;CNP
hsa:1268;CNR1
hsa:1269;CNR2
hsa:1270;CNTF
hsa:1271;CNTFR
hsa:1272;CNTN1
hsa:1277;COL1A1
hsa:1278;COL1A2
hsa:1280;COL2A1
hsa:1281;COL3A1
hsa:1282;COL4A1
hsa:1284;COL4A2
hsa:1285;COL4A3
hsa:1286;COL4A4
hsa:1287;COL4A5
hsa:1288;COL4A6
hsa:1289;COL5A1
hsa:1290;COL5A2
hsa:1291;COL6A1
hsa:1292;COL6A2
hsa:1293;COL6A3
hsa:1294;COL7A1
hsa:1295;COL8A1
hsa:1296;COL8A2
hsa:1297;COL9A1
hsa:1298;COL9A2
hsa:1299;COL9A3
hsa:1300;COL10A1
hsa:1301;COL11A1
hsa:1302;COL11A2
hsa:1303;COL12A1
hsa:1305;COL13A1
hsa:1306;COL15A1
hsa:1307;COL16A1
hsa:1308;COL17A1
hsa:1310;COL19A1
hsa:1311;COMP
hsa:1312;COMT
hsa:1314;COPA
hsa:1315;COPB1
hsa:1316;KLF6
hsa:1317;SLC31A1
hsa:1318;SLC31A2
hsa:1325;CORT
hsa:1326;MAP3K8
hsa:1327;COX4I1
hsa:1329;COX5B
hsa:1337;COX6A1
hsa:1339;COX6A2
hsa:1340;COX6B1
hsa:1345;COX6C
hsa:1346;COX7A1
hsa:1347;COX7A2
hsa:1349;COX7B
hsa:1350;COX7C
hsa:1351;COX8A
hsa:1352;COX10
hsa:1353;COX11
hsa:1355;COX15
hsa:1356;CP
hsa:1357;CPA1
hsa:1358;CPA2
hsa:1359;CPA3
hsa:1360;CPB1
hsa:1361;CPB2
hsa:1362;CPD
hsa:1363;CPE
hsa:1364;CLDN4
hsa:1365;CLDN3
hsa:1366;CLDN7
hsa:1368;CPM
hsa:1369;CPN1
hsa:1370;CPN2
hsa:1371;CPOX
hsa:1373;CPS1
hsa:1374;CPT1A
hsa:1375;CPT1B
hsa:1376;CPT2
hsa:1378;CR1
hsa:1379;CR1L
hsa:1380;CR2
hsa:1381;CRABP1
hsa:1382;CRABP2
hsa:1384;CRAT
hsa:1385;CREB1
hsa:1386;ATF2
hsa:1387;CREBBP
hsa:1388;ATF6B
hsa:1389;CREBL2
hsa:1390;CREM
hsa:1392;CRH
hsa:1393;CRHBP
hsa:1394;CRHR1
hsa:1395;CRHR2
hsa:1396;CRIP1
hsa:1397;CRIP2
hsa:1398;CRK
hsa:1399;CRKL
hsa:1400;CRMP1
hsa:1401;CRP
hsa:1404;HAPLN1
hsa:1406;CRX
hsa:1407;CRY1
hsa:1408;CRY2
hsa:1409;CRYAA
hsa:1410;CRYAB
hsa:1411;CRYBA1
hsa:1412;CRYBA2
hsa:1413;CRYBA4
hsa:1414;CRYBB1
hsa:1415;CRYBB2
hsa:1416;CRYBB2P1
hsa:1417;CRYBB3
hsa:1418;CRYGA
hsa:1419;CRYGB
hsa:1420;CRYGC
hsa:1421;CRYGD
hsa:1427;CRYGS
hsa:1428;CRYM
hsa:1429;CRYZ
hsa:1431;CS
hsa:1432;MAPK14
hsa:1434;CSE1L
hsa:1435;CSF1
hsa:1436;CSF1R
hsa:1437;CSF2
hsa:1438;CSF2RA
hsa:1439;CSF2RB
hsa:1440;CSF3
hsa:1441;CSF3R
hsa:1442;CSH1
hsa:1443;CSH2
hsa:1444;CSHL1
hsa:1445;CSK
hsa:1446;CSN1S1
hsa:1447;CSN2
hsa:1448;CSN3
hsa:1452;CSNK1A1
hsa:1453;CSNK1D
hsa:1454;CSNK1E
hsa:1455;CSNK1G2
hsa:1456;CSNK1G3
hsa:1457;CSNK2A1
hsa:1459;CSNK2A2
hsa:1460;CSNK2B
hsa:1462;VCAN
hsa:1463;NCAN
hsa:1464;CSPG4
hsa:1465;CSRP1
hsa:1466;CSRP2
hsa:1468;SLC25A10
hsa:1469;CST1
hsa:1470;CST2
hsa:1471;CST3
hsa:1472;CST4
hsa:1473;CST5
hsa:1474;CST6
hsa:1475;CSTA
hsa:1476;CSTB
hsa:1477;CSTF1
hsa:1478;CSTF2
hsa:1479;CSTF3
hsa:1482;NKX2-5
hsa:1485;CTAG1B
hsa:1486;CTBS
hsa:1487;CTBP1
hsa:1488;CTBP2
hsa:1489;CTF1
hsa:1490;CCN2
hsa:1491;CTH
hsa:1493;CTLA4
hsa:1495;CTNNA1
hsa:1496;CTNNA2
hsa:1497;CTNS
hsa:1499;CTNNB1
hsa:1500;CTNND1
hsa:1501;CTNND2
hsa:1503;CTPS1
hsa:1504;CTRB1
hsa:1506;CTRL
